Año,Trimestre,Provincia,vmd_prov,kpi_2
2024,1,Buenos Aires,155.18643131319558,
2023,4,Buenos Aires,155.53347008711754,-0.2231280339386552
2023,3,Buenos Aires,143.20866443327887,8.606187134424964
2023,2,Buenos Aires,155.18208322722774,-7.715722424228966
2023,1,Buenos Aires,113.87766516944457,36.27086838874344
2022,4,Buenos Aires,108.73684546511592,4.727762408720865
2022,3,Buenos Aires,155.18043327494553,-29.928765392439526
2022,2,Buenos Aires,64.5803181315153,140.29059900096286
2022,1,Buenos Aires,62.15099136062856,3.908749832791356
2021,4,Buenos Aires,59.902574056303656,3.753456908565514
2021,3,Buenos Aires,56.12882943233962,6.723362418439685
2021,2,Buenos Aires,52.639152594249616,6.629432021805045
2021,1,Buenos Aires,50.64972321491467,3.9278188567654837
2020,4,Buenos Aires,49.89659150548402,1.5093850836441995
2020,3,Buenos Aires,48.13268184077473,3.6646818694715333
2020,2,Buenos Aires,45.4053147625469,6.00671329444792
2020,1,Buenos Aires,44.82973940147044,1.2839141354847599
2019,4,Buenos Aires,30.59710858502968,46.51626076656274
2019,3,Buenos Aires,25.479378072956816,20.085774846697284
2019,2,Buenos Aires,22.227776081318442,14.628552940890996
2019,1,Buenos Aires,19.64112130091041,13.16958813491028
2018,4,Buenos Aires,16.85842431101967,16.50626973525516
2018,3,Buenos Aires,16.217415450393418,3.9525956684466874
2018,2,Buenos Aires,14.21960742697387,14.049670735844705
2018,1,Buenos Aires,13.853278725120258,2.644346577603642
2017,4,Buenos Aires,12.517042688778961,10.675333379977852
2024,1,Capital Federal,229.9431037548074,
2023,4,Capital Federal,233.59168483423733,-1.5619481840798648
2023,3,Capital Federal,217.91015269512474,7.1963292876272815
2023,2,Capital Federal,229.93032605739668,-5.227745973478677
2023,1,Capital Federal,175.63579011821952,30.91313900352075
2022,4,Capital Federal,170.2763279911542,3.147508635107363
2022,3,Capital Federal,229.93032605739668,-25.944380234276387
2022,2,Capital Federal,87.50970971341859,162.74835879399515
2022,1,Capital Federal,88.11721608475523,-0.6894298280512092
2021,4,Capital Federal,82.995455671937,6.171133553460371
2021,3,Capital Federal,77.76024449326272,6.73250349557204
2021,2,Capital Federal,72.74332141207051,6.89674733543268
2021,1,Capital Federal,68.28403219168601,6.530500729462561
2020,4,Capital Federal,67.31205757758076,1.4439829193826035
2020,3,Capital Federal,63.79703851093667,5.509690024312821
2020,2,Capital Federal,60.45389476079689,5.5300717404029704
2020,1,Capital Federal,58.70568296242247,2.977926003336766
2019,4,Capital Federal,44.201070121971426,32.81507167230575
2019,3,Capital Federal,38.701579040126674,14.209991473843367
2019,2,Capital Federal,30.346259857091994,27.533275014390355
2019,1,Capital Federal,24.766601228753487,22.52896381220304
2018,4,Capital Federal,22.962960396538566,7.85456579233922
2018,3,Capital Federal,21.657218902828745,6.029128206942915
2018,2,Capital Federal,18.985351698016192,14.073308976897913
2018,1,Capital Federal,17.901037488108233,6.057270203630795
2017,4,Capital Federal,15.423170161301522,16.065875568331343
2024,1,Catamarca,91.35996081833105,
2023,4,Catamarca,89.30584343116092,2.3000929258940217
2023,3,Catamarca,87.78746478380741,1.7296075824638502
2023,2,Catamarca,91.35996081833105,-3.9103519775227724
2023,1,Catamarca,84.5839666536116,8.01096760154145
2022,4,Catamarca,80.65318850921604,4.873679785079297
2022,3,Catamarca,91.35996081833105,-11.719326730454043
2022,2,Catamarca,54.69970666189112,67.02093373743968
2022,1,Catamarca,49.408091698996444,10.710016883736795
2021,4,Catamarca,44.62736408867829,10.712547576904717
2021,3,Catamarca,41.730098197461515,6.942868616094029
2021,2,Catamarca,40.51564193455798,2.9974997430996067
2021,1,Catamarca,38.27766979679803,5.846678101463644
2020,4,Catamarca,35.99091426826475,6.353702246874124
2020,3,Catamarca,34.963246393074705,2.9392804765223444
2020,2,Catamarca,32.613866266466566,7.203623475404268
2020,1,Catamarca,27.519682141019043,18.51105728381384
2019,4,Catamarca,22.86653566860693,20.349153627151047
2019,3,Catamarca,8.671265432098766,163.70471354689445
2019,2,Catamarca,8.243084884896794,5.194421180673465
2019,1,Catamarca,7.470882869397507,10.336154762409773
2018,4,Catamarca,7.564154482922907,-1.2330738846750564
2018,3,Catamarca,7.3494346403319115,2.9215831298460078
2018,2,Catamarca,6.222586464842031,18.10899988062258
2018,1,Catamarca,6.644868696395414,-6.35501242910119
2017,4,Catamarca,7.227307327965356,-8.058860722806859
2024,1,Chaco,104.87043791105997,
2023,4,Chaco,104.20639357876597,0.6372395296379482
2023,3,Chaco,104.40477061612708,-0.19000763680665522
2023,2,Chaco,104.87043791105997,-0.4440405744541802
2023,1,Chaco,101.43887704469188,3.3828853062482276
2022,4,Chaco,101.19069992969658,0.24525684195061842
2022,3,Chaco,104.87043791105997,-3.5088420098752264
2022,2,Chaco,49.30056646513054,112.71649684843493
2022,1,Chaco,43.4286424690707,13.520855505077645
2021,4,Chaco,40.108341326654845,8.278330722714982
2021,3,Chaco,36.887782914256704,8.730691188147912
2021,2,Chaco,35.28217413610556,4.5507648478727525
2021,1,Chaco,31.609158503255347,11.620099385030885
2020,4,Chaco,30.593691065561394,3.3192053731530327
2020,3,Chaco,29.14846639891306,4.95814993101052
2020,2,Chaco,26.43198161271189,10.277264966372163
2020,1,Chaco,24.44951730906792,8.108398536394441
2019,4,Chaco,21.989539434959248,11.187036824417387
2019,3,Chaco,18.3977291592035,19.523117471043637
2019,2,Chaco,15.792896527878876,16.493697826275042
2019,1,Chaco,13.314169673403002,18.617209448873794
2018,4,Chaco,13.65676866466544,-2.5086387539744637
2018,3,Chaco,12.987631452569266,5.152111180085905
2018,2,Chaco,12.338841465271363,5.258111056244406
2018,1,Chaco,12.416162096257569,-0.6227417972379039
2017,4,Chaco,11.663326284582931,6.454726493159739
2024,1,Chubut,18.504473130375683,
2023,4,Chubut,18.313453934300995,1.0430539032121626
2023,3,Chubut,17.356477473403622,5.513655995946214
2023,2,Chubut,18.492983442117723,-6.145606371580429
2023,1,Chubut,16.13749496921548,14.596369990482808
2022,4,Chubut,14.028475115401253,15.033849627026296
2022,3,Chubut,18.492983442117723,-24.14163372119051
2022,2,Chubut,13.080497724271368,41.378285688649896
2022,1,Chubut,12.1847611228937,7.351285694839644
2021,4,Chubut,8.18956747012002,48.78393965676835
2021,3,Chubut,7.395828892904285,10.732246360881398
2021,2,Chubut,7.391745240130138,0.05524612444671395
2021,1,Chubut,7.281690584857186,1.5113887906994978
2020,4,Chubut,7.134183926355936,2.0676038075821617
2020,3,Chubut,7.1776673767755925,-0.6058159028147996
2020,2,Chubut,7.3255738845530844,-2.019043287371271
2020,1,Chubut,6.786602930251754,7.941689823915141
2019,4,Chubut,6.694195292501717,1.3804144294019138
2019,3,Chubut,6.703887961350485,-0.1445827988869918
2019,2,Chubut,5.749426303829492,16.60098950890561
2019,1,Chubut,5.891730569196159,-2.4153220126982484
2018,4,Chubut,5.996792510352887,-1.7519689229758952
2018,3,Chubut,6.009825422225649,-0.21686007424714138
2018,2,Chubut,5.06268644843085,18.708228989538934
2018,1,Chubut,5.141420227105629,-1.5313624484474773
2017,4,Chubut,5.408238076890145,-4.933544825340645
2024,1,Córdoba,113.33257093381162,
2023,4,Córdoba,112.2290215639367,0.9833012481947336
2023,3,Córdoba,109.7339086590345,2.2737847720844626
2023,2,Córdoba,113.33430023840766,-3.1767889966227862
2023,1,Córdoba,106.07409481586176,6.844466064168814
2022,4,Córdoba,106.94887723834384,-0.8179444656838839
2022,3,Córdoba,113.34094565731691,-5.639681566006431
2022,2,Córdoba,52.81021953849976,114.61934195272372
2022,1,Córdoba,49.23499799462644,7.261545017760581
2021,4,Córdoba,45.76859926021262,7.573748793809424
2021,3,Córdoba,41.517892318026846,10.238253208099724
2021,2,Córdoba,39.168008477999315,5.999497884472378
2021,1,Córdoba,35.665427461984606,9.820661815277756
2020,4,Córdoba,34.59272288830964,3.1009544323482023
2020,3,Córdoba,33.0581321725658,4.642097465559054
2020,2,Córdoba,30.655240286538156,7.838437616432062
2020,1,Córdoba,29.039479926602244,5.564012730323589
2019,4,Córdoba,25.826612296203734,12.440143498304538
2019,3,Córdoba,22.954523527781646,12.512081834092639
2019,2,Córdoba,18.21751107115809,26.002522727285076
2019,1,Córdoba,15.595456567231766,16.812938387681616
2018,4,Córdoba,15.626711390554412,-0.20000896248418715
2018,3,Córdoba,14.634597951665477,6.779232625082325
2018,2,Córdoba,13.667641321435534,7.0747878693116135
2018,1,Córdoba,13.203980162214929,3.511525718187894
2017,4,Córdoba,11.958514068434551,10.414890066215538
2024,1,Corrientes,98.44182606052162,
2023,4,Corrientes,96.79441333901876,1.7019708727742993
2023,3,Corrientes,94.66582212239331,2.2485319082460395
2023,2,Corrientes,98.44182606052162,-3.8357719368257563
2023,1,Corrientes,89.37748493185582,10.141638171600755
2022,4,Corrientes,89.84570695965984,-0.5211401230492253
2022,3,Corrientes,98.44182606052162,-8.732181680149784
2022,2,Corrientes,41.189512086456965,138.99731041701054
2022,1,Corrientes,36.20930777539312,13.753934049101755
2021,4,Corrientes,33.9086444464065,6.784887354087191
2021,3,Corrientes,30.954204440326112,9.544551570614553
2021,2,Corrientes,29.183123558891435,6.068853040561758
2021,1,Corrientes,24.866141630799603,17.360883695541844
2020,4,Corrientes,24.43720850874191,1.7552459885270881
2020,3,Corrientes,22.881156194536068,6.800584292927566
2020,2,Corrientes,21.21484481685259,7.854459422487964
2020,1,Corrientes,19.675811248758098,7.8219573700760785
2019,4,Corrientes,18.410490222604846,6.872826366131523
2019,3,Corrientes,15.680531044085173,17.409864314190024
2019,2,Corrientes,13.064680571162333,20.022307156110703
2019,1,Corrientes,12.049695550812029,8.423325021534707
2018,4,Corrientes,12.140754068051013,-0.7500235712591307
2018,3,Corrientes,11.493394063706564,5.632452874722706
2018,2,Corrientes,10.879222516001919,5.645362495355515
2018,1,Corrientes,11.137624443973735,-2.320081174146882
